sintomas,diagnostico,recomendacion
fiebre,dengue,descanso e hidratación
dolor de cabeza,migraña,tomar ibuprofeno
tos,gripe,beber líquidos y descansar
dolor de garganta,infección de garganta,antibióticos y reposo
dolor en el pecho,ataque cardíaco,ir a emergencias inmediatamente
dolor de estómago,gastroenteritis,beber líquidos y descansar
dolor muscular,influenza,descansar y tomar medicamentos para la fiebre
tos seca,covid-19,aislamiento y consultar a un médico
dificultad para respirar,covid-19,ir a emergencias si los síntomas son graves
picazón en la piel,alergia,evitar el alérgeno y usar antihistamínicos
sarpullido,alergia,antihistamínicos y evitar el alérgeno
dolor en la espalda,contractura muscular,aplicar calor y tomar analgésicos
fatiga,fatiga crónica,consultar a un médico para tratamiento personalizado
pérdida de apetito,depresión,consultar a un médico o terapeuta
ansiedad,estrés,practicar técnicas de relajación y ejercicio regular
dolor abdominal,apendicitis,ir a emergencias para cirugía
dolor en las articulaciones,artritis,antiinflamatorios y ejercicio moderado
dificultad para dormir,insomnio,practicar higiene del sueño y evitar estimulantes
pérdida de cabello,alopecia,consultar a un dermatólogo
